,Name,Pos,Org,Top 100,Org Rk,Age_x,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId,avg_fastest_speed,avg_spin,K/9,IP,BB/9,Age_y,ERA,height,weight,throws
456,Joel Peguero,SIRP,TBR,,47,24.4277777,,Tail,70 / 70,55 / 60,,,35 / 40,2300.0,2500.0,"['93', '97']",98.0,35+,sa917689,95.0,2400.0,9.23,80.0,4.05,—,4.725,"5' 11""",160,R
457,Sandy Gaston,SIRP,TBR,,48,19.8138888,,Rise,55 / 65,,45 / 50,45 / 50,30 / 45,2100.0,2150.0,"['93', '96']",97.0,35+,sa3011136,94.5,2125.0,10.33,27.0,9.67,—,6.0,"6' 0""",215,R
458,Brenan Hanifee,SP,BAL,,44,23.3611111,,Sink,55 / 60,45 / 50,,,45 / 50,2050.0,2100.0,"['91', '93']",95.0,35+,sa917973,92.0,2075.0,5.62,261.0,3.38,—,3.724137931,"6' 5""",215,R
459,Jake Zebron,SP,BAL,,45,21.6805555,,Rise,40 / 45,,50 / 60,30 / 45,35 / 50,2100.0,2700.0,"['88', '92']",94.0,35+,sa3007250,90.0,2400.0,7.21,71.2,3.79,—,2.009304162,"6' 3""",180,R
460,Ignacio Feliz,SP,BAL,,46,21.9611111,,Cut,40 / 45,,50 / 55,40 / 50,40 / 50,2350.0,2600.0,"['86', '90']",92.0,35+,sa3002982,88.0,2475.0,9.61,102.1,4.41,—,3.781760132,"6' 1""",180,R
461,Audry Lugo,SIRP,TBR,,51,22.9444444,,Cut,45 / 55,,55 / 60,40 / 45,40 / 50,2300.0,2750.0,"['92', '94']",96.0,35+,sa3008710,93.0,2525.0,9.71,38.0,4.26,—,2.131578947,"5' 11""",160,R
462,Felix Bautista,SIRP,BAL,,47,26.3027777,,Tail,65 / 65,,,,30 / 35,2450.0,,"['93', '98']",100.0,35+,sa737480,95.5,,11.11,63.2,5.13,—,3.816751907,"6' 5""",220,R
463,Will Ethridge,SP,COL,,31,23.8027777,,Tail,40 / 40,45 / 50,,50 / 50,35 / 60,2200.0,2150.0,"['90', '95']",96.0,35+,sa3011337,92.5,2175.0,6.26,30.2,2.38,—,3.815213199,"6' 5""",220,R
464,Antonio Santos,SIRP,COL,,32,25.0083333,,Rise,55 / 55,50 / 50,45 / 45,50 / 50,40 / 40,2200.0,2200.0,"['92', '95']",97.0,35+,20383,93.5,2200.0,8.55,297.0,2.09,—,4.666666727,"6' 3""",190,R
465,Andrew Nardi,SIRP,MIA,,33,23.1416666,,,45 / 45,55 / 60,,,45 / 55,,,"['86', '90']",,35+,sa3011234,88.0,,15.08,19.1,6.6,—,0.931036105,"6' 3""",201,L
